,day,number,total
798,1217,2,2259
799,1218,4,2263
800,1219,2,2265
801,1220,2,2267
802,1223,2,2269
803,1225,1,2270
804,1226,1,2271
805,1227,1,2272
806,1231,3,2275
807,1233,3,2278
808,1237,1,2279
809,1242,1,2280
810,1245,1,2281
811,1247,3,2284
812,1248,1,2285
813,1249,2,2287
814,1250,1,2288
815,1251,2,2290
816,1252,4,2294
817,1253,2,2296
818,1254,2,2298
819,1255,1,2299
820,1258,3,2302
821,1259,2,2304
822,1261,1,2305
823,1267,1,2306
824,1268,1,2307
825,1269,1,2308
826,1272,1,2309
827,1273,1,2310
828,1276,2,2312
829,1279,2,2314
830,1280,2,2316
831,1281,1,2317
832,1282,1,2318
833,1283,1,2319
834,1284,1,2320
835,1286,1,2321
836,1287,2,2323
837,1288,1,2324
838,1289,1,2325
839,1290,2,2327
840,1291,2,2329
841,1292,1,2330
842,1294,2,2332
843,1295,2,2334
844,1297,3,2337
845,1300,2,2339
846,1301,4,2343
847,1302,1,2344
848,1305,1,2345
849,1306,1,2346
850,1308,5,2351
851,1309,2,2353
852,1310,2,2355
853,1314,1,2356
854,1318,1,2357
855,1321,1,2358
856,1322,3,2361
857,1323,1,2362
858,1324,1,2363
859,1325,1,2364
860,1327,3,2367
861,1329,1,2368
862,1330,3,2371
863,1331,1,2372
864,1332,2,2374
865,1333,1,2375
866,1334,1,2376
867,1337,1,2377
868,1338,2,2379
869,1339,1,2380
870,1341,1,2381
871,1342,2,2383
872,1344,8,2391
873,1345,1,2392
874,1346,2,2394
875,1349,2,2396
876,1350,4,2400
877,1352,1,2401
878,1353,1,2402
879,1356,3,2405
880,1357,3,2408
881,1358,2,2410
882,1359,5,2415
883,1360,1,2416
884,1364,1,2417
885,1369,2,2419
886,1372,3,2422
887,1373,1,2423
888,1374,1,2424
889,1375,1,2425
890,1377,2,2427
891,1379,3,2430
892,1380,3,2433
893,1381,1,2434
894,1385,2,2436
895,1386,1,2437
896,1387,2,2439
897,1389,1,2440
898,1392,2,2442
899,1393,1,2443
900,1398,1,2444
901,1400,3,2447
902,1402,2,2449
903,1405,3,2452
904,1406,3,2455
905,1407,1,2456
906,1408,1,2457
907,1412,1,2458
908,1413,1,2459
909,1414,3,2462
910,1415,1,2463
911,1420,2,2465
912,1423,1,2466
913,1428,1,2467
914,1429,2,2469
915,1430,2,2471
916,1434,1,2472
917,1436,2,2474
918,1437,2,2476
919,1440,2,2478
920,1441,1,2479
921,1442,1,2480
922,1443,1,2481
923,1445,1,2482
924,1448,1,2483
925,1449,1,2484
926,1450,2,2486
927,1451,2,2488
928,1455,2,2490
929,1456,1,2491
930,1457,6,2497
931,1458,3,2500
932,1461,2,2502
933,1462,2,2504
934,1464,3,2507
935,1465,1,2508
936,1468,1,2509
937,1469,1,2510
938,1470,1,2511
939,1471,2,2513
940,1472,1,2514
941,1475,1,2515
942,1476,3,2518
943,1477,4,2522
944,1478,4,2526
945,1479,2,2528
946,1482,2,2530
947,1483,4,2534
948,1484,3,2537
949,1485,7,2544
950,1490,6,2550
951,1491,1,2551
952,1492,2,2553
953,1493,2,2555
954,1496,1,2556
955,1499,2,2558
956,1500,2,2560
957,1503,1,2561
958,1504,2,2563
959,1505,4,2567
960,1506,2,2569
961,1507,4,2573
962,1511,1,2574
963,1513,1,2575
964,1516,1,2576
965,1518,2,2578
966,1520,1,2579
967,1522,2,2581
968,1524,1,2582
969,1527,1,2583
970,1528,2,2585
971,1531,2,2587
972,1532,2,2589
973,1533,1,2590
974,1535,1,2591
975,1538,2,2593
976,1539,1,2594
977,1540,1,2595
978,1541,2,2597
979,1542,2,2599
980,1545,2,2601
981,1547,1,2602
982,1549,3,2605
983,1552,2,2607
984,1553,3,2610
985,1554,3,2613
986,1555,2,2615
987,1556,2,2617
988,1557,1,2618
989,1559,3,2621
990,1562,4,2625
991,1563,5,2630
992,1565,1,2631
993,1566,1,2632
994,1568,5,2637
995,1569,4,2641
996,1570,2,2643
997,1573,2,2645
998,1574,4,2649
999,1575,1,2650
1000,1576,1,2651
1001,1577,1,2652
1002,1580,2,2654
1003,1582,3,2657
1004,1583,3,2660
1005,1584,1,2661
1006,1588,2,2663
1007,1589,1,2664
1008,1590,2,2666
1009,1593,1,2667
1010,1594,2,2669
1011,1595,2,2671
1012,1596,1,2672
1013,1597,1,2673
1014,1601,1,2674
1015,1608,2,2676
1016,1609,1,2677
1017,1610,1,2678
1018,1618,1,2679
1019,1619,1,2680
1020,1622,1,2681
1021,1623,2,2683
1022,1624,1,2684
1023,1625,3,2687
1024,1626,2,2689
1025,1627,1,2690
1026,1631,3,2693
1027,1632,1,2694
1028,1633,5,2699
1029,1635,2,2701
1030,1636,2,2703
1031,1638,1,2704
1032,1639,1,2705
1033,1640,1,2706
1034,1643,4,2710
1035,1644,1,2711
1036,1645,5,2716
1037,1646,1,2717
1038,1647,3,2720
1039,1648,1,2721
1040,1649,1,2722
1041,1650,1,2723
1042,1651,4,2727
1043,1652,1,2728
1044,1653,1,2729
1045,1654,1,2730
1046,1657,2,2732
1047,1658,9,2741
1048,1659,1,2742
1049,1660,2,2744
1050,1661,2,2746
1051,1662,2,2748
1052,1664,2,2750
1053,1665,3,2753
1054,1667,11,2764
1055,1668,2,2766
1056,1670,3,2769
1057,1671,2,2771
1058,1672,4,2775
1059,1673,5,2780
1060,1674,3,2783
1061,1675,2,2785
1062,1676,1,2786
1063,1678,4,2790
1064,1679,6,2796
1065,1680,2,2798
1066,1681,4,2802
1067,1685,1,2803
1068,1686,2,2805
1069,1687,2,2807
1070,1690,1,2808
1071,1692,1,2809
1072,1694,1,2810
1073,1695,3,2813
1074,1696,2,2815
1075,1699,3,2818
1076,1700,2,2820
1077,1701,4,2824
1078,1702,1,2825
1079,1707,2,2827
1080,1708,3,2830
1081,1709,1,2831
1082,1710,1,2832
1083,1713,1,2833
1084,1714,2,2835
1085,1715,1,2836
1086,1716,2,2838
1087,1717,2,2840
