,day,number,total
838,1421,1,2496
839,1423,2,2498
840,1424,1,2499
841,1427,1,2500
842,1428,1,2501
843,1429,2,2503
844,1434,3,2506
845,1436,2,2508
846,1437,2,2510
847,1441,3,2513
848,1443,4,2517
849,1444,2,2519
850,1445,1,2520
851,1448,1,2521
852,1452,3,2524
853,1456,4,2528
854,1457,2,2530
855,1458,4,2534
856,1459,1,2535
857,1462,1,2536
858,1463,3,2539
859,1464,1,2540
860,1465,1,2541
861,1466,1,2542
862,1467,3,2545
863,1469,1,2546
864,1471,1,2547
865,1473,4,2551
866,1476,1,2552
867,1477,1,2553
868,1479,4,2557
869,1480,2,2559
870,1481,1,2560
871,1484,1,2561
872,1485,3,2564
873,1486,1,2565
874,1487,1,2566
875,1488,2,2568
876,1491,10,2578
877,1492,3,2581
878,1493,4,2585
879,1494,1,2586
880,1498,2,2588
881,1499,2,2590
882,1500,2,2592
883,1502,2,2594
884,1505,2,2596
885,1506,3,2599
886,1507,2,2601
887,1508,2,2603
888,1511,3,2606
889,1512,1,2607
890,1513,1,2608
891,1514,2,2610
892,1521,1,2611
893,1522,2,2613
894,1525,4,2617
895,1526,2,2619
896,1527,2,2621
897,1529,1,2622
898,1530,2,2624
899,1531,1,2625
900,1532,3,2628
901,1533,1,2629
902,1534,5,2634
903,1535,2,2636
904,1536,4,2640
905,1546,4,2644
906,1548,1,2645
907,1550,1,2646
908,1554,2,2648
909,1556,3,2651
910,1558,1,2652
911,1563,2,2654
912,1567,1,2655
913,1568,2,2657
914,1569,2,2659
915,1570,2,2661
916,1576,1,2662
917,1581,1,2663
918,1582,1,2664
919,1584,1,2665
920,1590,1,2666
921,1591,1,2667
922,1592,7,2674
923,1599,1,2675
924,1601,1,2676
925,1609,1,2677
926,1610,3,2680
927,1613,1,2681
928,1615,1,2682
929,1618,3,2685
930,1622,1,2686
931,1625,1,2687
932,1628,1,2688
933,1632,1,2689
934,1636,2,2691
935,1638,1,2692
936,1640,1,2693
937,1644,2,2695
938,1646,1,2696
939,1647,1,2697
940,1651,1,2698
941,1652,2,2700
942,1657,9,2709
943,1659,2,2711
944,1660,2,2713
945,1662,3,2716
946,1663,1,2717
947,1664,1,2718
948,1665,1,2719
949,1666,2,2721
950,1667,5,2726
951,1668,3,2729
952,1669,1,2730
953,1671,1,2731
954,1673,1,2732
955,1674,3,2735
956,1675,3,2738
957,1676,1,2739
958,1679,2,2741
959,1681,1,2742
960,1683,2,2744
961,1686,1,2745
962,1687,1,2746
963,1688,3,2749
964,1689,2,2751
965,1690,1,2752
966,1693,3,2755
967,1694,2,2757
968,1695,1,2758
969,1696,4,2762
970,1697,2,2764
971,1700,1,2765
972,1701,1,2766
973,1702,1,2767
974,1704,3,2770
975,1706,2,2772
976,1707,1,2773
977,1708,2,2775
978,1709,2,2777
979,1710,1,2778
980,1715,1,2779
981,1716,1,2780
982,1718,2,2782
983,1723,3,2785
984,1724,1,2786
985,1725,2,2788
986,1727,4,2792
987,1728,3,2795
988,1729,2,2797
989,1730,4,2801
990,1731,1,2802
991,1732,2,2804
992,1733,1,2805
993,1735,1,2806
994,1736,2,2808
995,1737,2,2810
996,1739,1,2811
997,1740,1,2812
998,1742,1,2813
999,1743,1,2814
1000,1745,1,2815
1001,1746,1,2816
1002,1750,1,2817
1003,1752,1,2818
1004,1758,2,2820
1005,1759,1,2821
1006,1760,1,2822
1007,1761,1,2823
1008,1764,2,2825
1009,1765,1,2826
1010,1772,7,2833
1011,1773,2,2835
1012,1774,1,2836
1013,1778,2,2838
1014,1779,2,2840
